name	average	std	subject_1	subject_2	subject_3	subject_4	subject_5	subject_6	subject_7	subject_8	subject_9	subject_10	subject_11	subject_12	subject_13	subject_14	subject_15	subject_16	subject_17	subject_18	subject_19	subject_20	subject_21	subject_22	subject_23	subject_24	subject_25	subject_26	subject_27	subject_28	subject_29	subject_30	subject_31	subject_32	subject_33	
Madonna	3.7	1.09	3.0	2.0	2.0	4.0	5.0	5.0	3.0	5.0	5.0	4.0	4.0	4.0	3.0	5.0	2.0	4.0	3.0	5.0	3.0	5.0	4.0	4.0	4.0	3.0	4.0	3.0	5.0	5.0	2.0	2.0	2.0	3.0	5.0	
Woody Allen	3.88	1.01	4.0	3.0	2.0	5.0	5.0	5.0	3.0	5.0	4.0	5.0	5.0	4.0	3.0	4.0	3.0	5.0	5.0	5.0	3.0	5.0	4.0	4.0	4.0	2.0	4.0	2.0	5.0	4.0	3.0	2.0	4.0	4.0	3.0	
Quentin Tarantino	4.09	0.75	4.0	3.0	2.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0	5.0	4.0	4.0	5.0	3.0	4.0	3.0	5.0	5.0	5.0	3.0	4.0	4.0	4.0	
J.K. Rowling	3.88	1.04	5.0	2.0	2.0	4.0	5.0	5.0	3.0	5.0	4.0	5.0	5.0	3.0	4.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	4.0	4.0	5.0	3.0	3.0	3.0	5.0	4.0	3.0	1.0	4.0	4.0	4.0	
William Shakespeare	3.79	0.98	4.0	3.0	2.0	4.0	5.0	5.0	4.0	5.0	2.0	5.0	4.0	4.0	4.0	2.0	3.0	5.0	4.0	4.0	3.0	5.0	4.0	4.0	3.0	4.0	5.0	4.0	5.0	5.0	2.0	3.0	3.0	3.0	3.0	
Israele	3.94	0.98	4.0	2.0	2.0	3.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	3.0	4.0	5.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0	3.0	5.0	3.0	5.0	4.0	3.0	2.0	4.0	5.0	5.0	
New York	4.09	0.96	2.0	2.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	3.0	4.0	4.0	5.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	2.0	3.0	5.0	5.0	
Spagna	4.09	0.83	2.0	3.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	5.0	3.0	4.0	3.0	4.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	3.0	4.0	4.0	5.0	
Amsterdam	3.73	0.96	3.0	2.0	2.0	4.0	5.0	5.0	3.0	5.0	2.0	4.0	3.0	3.0	4.0	2.0	3.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	3.0	4.0	3.0	3.0	
Mar Mediterraneo	4.3	0.72	4.0	4.0	2.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	4.0	
Parigi	4.12	0.88	4.0	2.0	2.0	3.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	3.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	3.0	3.0	5.0	5.0	
Stonehenge	3.61	1.13	5.0	2.0	2.0	2.0	5.0	5.0	2.0	5.0	3.0	4.0	4.0	3.0	4.0	3.0	2.0	3.0	3.0	2.0	4.0	5.0	4.0	4.0	4.0	5.0	3.0	5.0	5.0	5.0	2.0	4.0	2.0	4.0	4.0	
Sagrada Familia	3.42	1.16	5.0	3.0	2.0	4.0	5.0	5.0	4.0	1.0	3.0	5.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	4.0	2.0	5.0	4.0	4.0	5.0	3.0	5.0	3.0	5.0	4.0	2.0	3.0	4.0	3.0	2.0	
Germania	3.94	0.81	4.0	3.0	2.0	3.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	3.0	4.0	4.0	5.0	3.0	4.0	3.0	5.0	4.0	4.0	4.0	3.0	4.0	3.0	5.0	5.0	4.0	4.0	3.0	4.0	4.0	
Torre di Pisa	3.88	0.91	4.0	3.0	2.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	2.0	5.0	4.0	3.0	5.0	3.0	5.0	2.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	3.0	3.0	3.0	4.0	3.0	
Regno Unito	3.94	0.89	5.0	4.0	2.0	3.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	5.0	4.0	4.0	5.0	3.0	4.0	3.0	5.0	5.0	3.0	3.0	3.0	5.0	4.0	
Roma	4.52	0.66	5.0	4.0	3.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	3.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	
Macchu Picchu	3.27	1.29	2.0	2.0	1.0	5.0	5.0	5.0	2.0	4.0	2.0	5.0	5.0	3.0	3.0	2.0	2.0	4.0	3.0	2.0	3.0	4.0	4.0	4.0	2.0	2.0	5.0	2.0	5.0	5.0	2.0	2.0	3.0	3.0	5.0	
Nilo	3.33	1.15	2.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	2.0	5.0	4.0	2.0	2.0	2.0	2.0	4.0	4.0	5.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	3.0	5.0	5.0	2.0	3.0	2.0	3.0	4.0	
Oceano Atlantico	3.48	1.21	1.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	3.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	5.0	4.0	5.0	4.0	4.0	2.0	2.0	5.0	2.0	5.0	4.0	3.0	2.0	2.0	4.0	5.0	
Oceano Pacifico	3.27	1.19	1.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	3.0	5.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	5.0	3.0	4.0	4.0	4.0	2.0	2.0	5.0	2.0	5.0	4.0	2.0	2.0	2.0	4.0	3.0	
Marylin Monroe	4.0	1.1	4.0	4.0	2.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	2.0	5.0	5.0	2.0	4.0	5.0	5.0	4.0	5.0	5.0	2.0	4.0	3.0	3.0	5.0	3.0	5.0	3.0	4.0	5.0	4.0	5.0	3.0	
Robert De Niro	3.06	0.69	2.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	4.0	2.0	3.0	2.0	4.0	3.0	3.0	1.0	3.0	3.0	3.0	
Britney Spears	2.91	0.57	3.0	2.0	2.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	4.0	3.0	2.0	2.0	3.0	3.0	3.0	
Muraglia Cinese	3.3	1.06	2.0	2.0	2.0	3.0	5.0	5.0	3.0	5.0	2.0	4.0	3.0	3.0	4.0	1.0	2.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	5.0	3.0	5.0	3.0	3.0	2.0	3.0	3.0	5.0	
