name_length	value	response_time	accuracy	semantic_domain	familiarity	subject	
15	19	0.8558100999980525	1	1	1	1	
13	18	0.8017149000006611	1	1	1	1	
8	12	0.8550515999995696	1	1	-1	1	
15	25	0.7286659000019426	1	-1	1	1	
10	11	1.0538435000016761	1	1	-1	1	
15	5	0.9015680000011344	1	-1	-1	1	
6	21	1.4580356999977084	1	1	1	1	
15	23	0.9373460999995586	1	1	1	1	
20	22	0.7630099000016344	1	1	1	1	
12	1	1.2902291999998852	1	-1	-1	1	
13	10	1.9133484000012686	1	1	1	1	
17	30	3.951786699999502	1	-1	1	1	
14	6	1.5069877000023553	1	-1	-1	1	
12	4	0.6967626999976346	1	-1	-1	1	
13	10	0.5279331999990973	1	1	1	1	
18	7	0.7956857999997737	1	-1	-1	1	
13	3	1.3101722999999765	0	-1	-1	1	
6	21	1.852488300002733	1	1	1	1	
7	9	1.1401983999967342	1	1	-1	1	
16	27	0.8880018999989261	1	-1	1	1	
15	15	0.7689433000014105	1	1	-1	1	
13	29	1.7640658000018448	1	-1	1	1	
15	25	0.816445799999201	1	-1	1	1	
15	23	0.8496763000002829	1	1	1	1	
11	0	0.8503865999991831	1	-1	1	1	
15	16	0.5767844000001787	1	1	-1	1	
20	22	1.053941100002703	1	1	1	1	
13	18	0.8841875999969488	1	1	1	1	
19	14	0.9146961000005831	1	1	-1	1	
10	11	0.9283580999981496	1	1	-1	1	
15	5	1.2303258000029018	1	-1	-1	1	
4	24	0.8640773000006448	1	1	1	1	
15	2	0.7984987999989244	1	-1	-1	1	
10	20	0.8970673000003444	1	1	1	1	
14	8	0.9109581000011531	1	-1	-1	1	
18	26	0.750557999999728	1	-1	1	1	
17	31	0.7690393000011682	1	-1	1	1	
14	13	1.1262453999988793	1	1	-1	1	
12	1	1.100100100000418	1	-1	-1	1	
15	19	0.7225045000013779	1	1	1	1	
12	28	0.726753999999346	1	-1	1	1	
15	23	0.8344957000008435	1	1	1	1	
18	26	0.643677399999433	1	-1	1	1	
17	31	1.004765400000906	1	-1	1	1	
16	27	1.9578102999985276	1	-1	1	1	
15	2	2.7135421999992104	1	-1	-1	1	
20	22	0.7671797000002698	1	1	1	1	
8	12	0.8031512000015937	1	1	-1	1	
13	10	0.7735051999989082	1	1	1	1	
15	25	0.8719719000000623	1	-1	1	1	
14	6	1.047203799997078	1	-1	-1	1	
12	28	0.7676213999984611	1	-1	1	1	
13	3	1.7306147999988752	1	-1	-1	1	
13	29	1.040002600002481	1	-1	1	1	
19	14	1.3377903000000515	1	1	-1	1	
16	17	1.2062188999989303	1	1	-1	1	
18	7	0.7446807000014815	1	-1	-1	1	
17	30	0.7477294999989681	1	-1	1	1	
15	5	0.8323737999999139	1	-1	-1	1	
12	1	0.9926650000015798	1	-1	-1	1	
4	24	0.875676099996781	1	1	1	1	
15	19	0.8914356999994197	1	1	1	1	
7	9	1.5145671000027505	1	1	-1	1	
